OK | https://mp.weixin.qq.com/s/y_XOz-J3RKroA_A5bXSkKw | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_03_20_成果奖评审专家老陈_80_的申报书被刷在_自嗨_专家揭秘教学成果奖申报的3个关键点.md | images_ok=8 | images_failed=0
OK | https://mp.weixin.qq.com/s/rk81yRxzOucolBZKc286Zg | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_04_26_评审专家讲课题_评委狂赞_国家教学成果一等奖展示_这个框架思路值得学习.md | images_ok=12 | images_failed=0
OK | https://mp.weixin.qq.com/s?__biz=MzYyMTk3NDAzNg==&mid=2247485060&idx=1&sn=6c14e84d1b0df9892a3e042fd8e01f50&chksm=fe4eb57aa232cb240dbae8f3e8847886de7306267452446219379d96ed9839596d2fd3a05894&mpshare=1&scene=24&srcid=0503xrPRKU1incZSu863teLz&sharer_shareinfo=c42c8b60c86e4507727da059d12185fb&sharer_shareinfo_first=c42c8b60c86e4507727da059d12185fb&key=daf9bdc5abc4e8d0519956e0d9f976ccc8648ade047212857f5a61223e1b928bf82498f55501e57d6e73a30351a598e47e4cd703447a3483016debe1737f98868efcbd54dc98b503903094319a81c1c7d49d835bf9b8d5d6f17746e0589512ee15bcf70ac51d77a8dec00546a9420da8b76be31dfb6b47db1f24a3bdff2e7676&ascene=0&uin=NTQ2MzM4ODgw&devicetype=UnifiedPCWindows&version=f2541843&lang=zh_CN&countrycode=CN&exportkey=n_ChQIAhIQSftJ12VG4HhqLmbq5aglOhLeAQIE97dBBAEAAAAAADwcKo776aAAAAAOpnltbLcz9gKNyK89dVj0uizQQcLPZPp5L%2FGmDDO%2FCgy0Z9gkoWe88THyzKC749vFiCZw%2FkOFYB2wKBI3FxzxPHhx7CCIGUv0SLIzFCIbSXR6DJFawn3wh7nq%2FMxFfEe2LcyT%2FhozC%2BbAUC7LZrT8I2ekFhCBmTpFXb%2BHx5PkUo9MbjFZyuDFp3JzN9JBFXuyKzCnPLAxq51ZI379aVNqg88aXNBOHur1gL9V9Nz0kKLhNHhBpXZynBGXJwmyj5Fdb6QwbZQeMw%3D%3D&acctmode=0&pass_ticket=fsKutrMrwAqPbGpMk5%2BuJeCfpQ5a1mzGQ9A%2BCPMs52tIVSuZahN2u5MjddIqWnX8&wx_header=0 | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_04_06_成果奖评审专家老陈_教改课题申报总被拒_跟着大佬学写教改课题_立项成功率提升80.md | images_ok=9 | images_failed=0
OK | https://mp.weixin.qq.com/s/b6R3EzC4cV4C1fstSQJCUA | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_04_12_专家谈课题_挖到宝了_这篇人工智能省级课题一等奖的思路太绝.md | images_ok=10 | images_failed=0
OK | https://mp.weixin.qq.com/s/YSF0wj9d_XmiAaJvU_woQA | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_04_26_评审讲医课题_2026教学成果奖必看_思路这么清晰_难怪是评审一眼就记住的成果.md | images_ok=9 | images_failed=0
OK | https://mp.weixin.qq.com/s/TA23LhznmJDHFKppWxxOvg | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_03_19_专家谈课题_冲教学成果奖必看_思路太清晰了_谁用谁获奖.md | images_ok=13 | images_failed=0
OK | https://mp.weixin.qq.com/s/fhfWCOKtueybgjP-dK_7QQ | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_04_24_评审讲医课题_国家级教育成果一等奖三级六核六维育人模式_值得一读.md | images_ok=12 | images_failed=0
OK | https://mp.weixin.qq.com/s/uUoCKXQnHqxWa-u_jYLIKw | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_04_21_课题成果打磨专家社_不愧是省级一等奖课题_这篇人工智能赋能课题太牛了_一眼惊艳.md | images_ok=7 | images_failed=0
OK | https://mp.weixin.qq.com/s/GDWdJx4gSSpmK5wqcTApNw | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_04_02_教学创新大赛_一等奖案例分析_从痛点到亮点_国奖得主的教学创新底层逻辑.md | images_ok=6 | images_failed=0
OK | https://mp.weixin.qq.com/s/W80_P1Tm_kVrXVM03v45Dw | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_04_16_评审专家讲课题_挖到宝了_这篇教学成果一等奖思路太优秀了_评委直呼惊艳.md | images_ok=11 | images_failed=0
OK | https://mp.weixin.qq.com/s/2ejqbGFc_nZ0SzLUXb1cgg | E:\GoogleDrive\Obsidian Vault (1)\ChatGPT\50_教学_课题\2026_04_30_专家讲课题成果奖申报_aigc_非遗文创_数字化课题简直太出彩了.md | images_ok=7 | images_failed=0
